family,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
shell_other,1321,14,4996,36.42316426949281,27.919026649473366,1.58599184331537,1.0656144196011132
cone_3,667,6,4998,71.44077961019491,55.5478867866648,2.0566934425640424,2.1299571863167706
ring_5,334,10,5000,47.952095808383234,37.073522588189725,1.7345349437722135,1.4198198003803417
mobius_3x5,166,30,4980,94.62650602409639,73.98183836851047,2.3094334984333282,2.8269247879813837
spine_none,11,4,4096,12.090909090909092,9.304746702253412,0.7342399934676007,1.0
