time,x,symbol,is_head,state,transition_code,residue,prime,exponent,scale_level,term_value,term_log10
4,-2,0,1,A,R,11,101,9,3,1093685272684360901,18.038892364043782
4,-1,1,0,,,7,127,6,3,4195872914689,12.622822325735742
4,0,1,0,,,7,157,6,3,14976071831449,13.175397914455402
4,1,1,0,,,7,277,6,3,451729667968489,14.654878614386691
4,2,0,0,,,1,4621,5,3,2107074263864747101,18.323679842593524
4,3,0,0,,,1,4651,5,3,2176364822256248251,18.337731697557583
4,4,0,0,,,1,4801,5,3,2550694994150424001,18.406658529845828
4,5,0,0,,,1,4831,5,3,2631389803159533151,18.420185187432597
5,-12,0,0,,,1,4861,5,3,2714114125887180301,18.433628105372712
5,-11,0,0,,,1,4951,5,3,2974846981587549751,18.47346463165742
5,-10,0,0,,,1,5011,5,3,3159526583116186051,18.499622013712383
5,-9,0,0,,,1,5101,5,3,3453636437270125501,18.538276617655935
5,-8,0,0,,,1,5281,5,3,4107530883227930401,18.613580837442473
5,-7,0,0,,,1,5431,5,3,4724969549059296151,18.67439901396314
5,-6,0,0,,,1,5521,5,3,5129661833054811601,18.71008873570069
5,-5,0,0,,,1,5581,5,3,5414521874424111901,18.7335601125833
5,-4,0,0,,,1,5641,5,3,5711898725822764201,18.75678049862697
5,-3,0,0,,,1,5701,5,3,6022200422754928501,18.77975520502066
5,-2,1,0,,,7,307,6,3,837201991720249,14.922830252863118
5,-1,1,1,B,L,13,43,10,3,21611482313284249,16.334684555795864
5,0,1,0,,,7,337,6,3,1464803622199009,15.165779405228031
5,1,1,0,,,7,367,6,3,2443410216924769,15.387996385512537
5,2,0,0,,,1,5791,5,3,6512801243674609951,18.81376782466687
5,3,0,0,,,1,5821,5,3,6683254452964433101,18.824987996424404
5,4,0,0,,,1,5851,5,3,6857258011452254251,18.836150490553592
5,5,0,0,,,1,5881,5,3,7034867094914093401,18.84725589701019
6,-12,0,0,,,1,6091,5,3,8383840309049151451,18.923442997507106
6,-11,0,0,,,1,6121,5,3,8592348778663854601,18.93411189749594
6,-10,0,0,,,1,6151,5,3,8804985297430755751,18.94472863511874
6,-9,0,0,,,1,6211,5,3,9242887056970432051,18.965807646227752
6,-8,0,0,,,1,6271,5,3,9698040733034740351,18.98668400387675
6,-7,0,0,,,1,6301,5,3,9932244411366931501,18.997047398075633
6,-6,0,0,,,1,6361,5,3,10414225515117487801,19.017626977882664
6,-5,0,0,,,1,6421,5,3,10914738862573076101,19.038013349582474
6,-4,0,0,,,1,6451,5,3,11172110164121057251,19.04813520947025
6,-3,0,0,,,1,6481,5,3,11434313815055456401,19.058210107265754
6,-2,1,1,C,L,13,73,11,3,313726685568359708377,20.496551461325016
6,-1,0,0,,,1,6571,5,3,12250599328831361851,19.088157335952577
6,0,1,0,,,7,397,6,3,3915101633817529,15.592743040578691
6,1,1,0,,,7,457,6,3,9109555799784049,15.9594972004191
6,2,0,0,,,1,6661,5,3,13112852264840949301,19.117697168284295
6,3,0,0,,,1,6691,5,3,13410814316501634451,19.127455149397154
6,4,0,0,,,1,6781,5,3,14337344540346837901,19.156468721885048
6,5,0,0,,,1,6841,5,3,14982971455182130201,19.175597952122747
7,-12,0,0,,,1,6871,6,4,105225183371017639404721,23.02211969124545
7,-11,0,0,,,1,6961,6,4,113770535583253237385761,23.05602980256473
7,-10,0,0,,,1,6991,6,4,116744334218879855473441,23.067235812774047
7,-9,0,0,,,1,7321,6,4,153965154141967596739921,23.18742244112058
7,-8,0,0,,,1,7351,6,4,157789658593615961631601,23.19807853649761
7,-7,0,0,,,1,7411,6,4,165676487910480149835961,23.2192608796006
7,-6,0,0,,,1,7561,6,4,186842396208611697669361,23.271475428373314
7,-5,0,0,,,1,7591,6,4,191334791982755678297041,23.281793948554515
7,-4,0,0,,,1,7621,6,4,195916841105003379171721,23.29207176975995
7,-3,0,1,D,R,11,131,13,4,3346006987161650573913911891,27.524526843524935
7,-2,1,0,,,7,487,7,4,6496848334417832983,18.81270272850244
7,-1,0,0,,,1,7681,6,4,205355619010311192622081,23.312506590665617
7,0,1,0,,,7,547,7,4,14652484962038521963,19.165911284334015
7,1,1,0,,,7,577,7,4,21292697885552828353,19.32823069209012
7,2,0,0,,,1,7741,6,4,215170339320767211940441,23.332782404740083
7,3,0,0,,,1,7951,6,4,252656526234903989335201,23.402530520746424
7,4,0,0,,,1,8011,6,4,264314135883503092219561,23.422120390419014
7,5,0,0,,,1,8101,6,4,282638808125771304198601,23.451231793031756
8,-12,0,0,,,1,8161,6,4,295433858869597240752961,23.47046026713559
8,-11,0,0,,,1,8191,6,4,302010161517773079920641,23.48002155559574
8,-10,0,0,,,1,8221,6,4,308708003623479520135321,23.48954788923089
8,-9,0,0,,,1,8311,6,4,329548769114748739461361,23.517919693862186
8,-8,0,0,,,1,8431,6,4,359148896024979703114081,23.555274535809005
8,-7,0,0,,,1,8461,6,4,366885180955413768344761,23.56453017030251
8,-6,0,0,,,1,8521,6,4,382774847235147158667121,23.582943391837617
8,-5,0,0,,,1,8581,6,4,399233900517512317737481,23.601227411830227
8,-4,0,0,,,1,8641,6,4,416278547769697703475841,23.619384030811595
8,-3,1,0,,,7,607,7,4,30361333167115869343,19.482320837526803
8,-2,1,1,D,R,13,103,14,4,15125897248551112432256145169,28.17972114587241
8,-1,0,0,,,1,8731,6,4,442979806723773856535881,23.646383929319413
8,0,1,0,,,7,727,7,4,107334880228778779303,20.030740876013265
8,1,1,0,,,7,757,7,4,142452854616260543293,20.153671156500508
8,2,0,0,,,1,8761,6,4,452191174625045386636561,23.65532208200526
8,3,0,0,,,1,8821,6,4,471093305232112695898921,23.67310693246704
8,4,0,0,,,1,8941,6,4,510877256873209883387641,23.708316569281756
