N,n,r,h,h_floor,eps_h,z_h,boost_G,delta10,rho30,fake_mirror,h_mirror,root_decimal,root_native,native_core,eps_bucket,native_cluster,z_N,pair_fiber_size
618,309,26,19.9526326096176,19,7,1.3538366000136288,2.01980198019802,358,18,26|358|26,26|7|26,7|358|7,7|18|7,"26|(18,7)|26",>5,eps=>5;rho30=18,7+18i,26
624,312,31,21.697074644363173,21,10,1.997187985282218,2.1818181818181817,314,24,31|314|31,31|10|31,10|314|10,10|24|10,"31|(24,10)|31",>5,eps=>5;rho30=24,10+24i,31
630,315,41,32.03303446757886,32,9,1.5843329696648174,3.1999999999999997,220,0,41|220|41,41|9|41,9|220|9,9|0|9,"41|(0,9)|41",>5,eps=>5;rho30=0,9,41
636,318,28,20.547144166463923,20,8,1.6441710095913327,2.0392156862745097,356,6,28|356|28,28|8|28,8|356|8,8|6|8,"28|(6,8)|28",>5,eps=>5;rho30=6,8+6i,28
648,324,27,20.413838621447553,20,7,1.4577062950876243,2.0,378,18,27|378|27,27|7|27,7|378|7,7|18|7,"27|(18,7)|27",>5,eps=>5;rho30=18,7+18i,27
654,327,29,20.736320499707862,20,9,1.81471160596199,2.0186915887850465,364,24,29|364|29,29|9|29,9|364|9,9|24|9,"29|(24,9)|29",>5,eps=>5;rho30=24,9+24i,29
660,330,41,30.628903468408193,30,11,1.8739541121462717,2.962962962962963,250,0,41|250|41,41|11|41,11|250|11,11|0|11,"41|(0,11)|41",>5,eps=>5;rho30=0,11,41
666,333,31,21.398830980025078,21,10,2.075530362184692,2.057142857142857,356,6,31|356|31,31|10|31,10|356|10,10|6|10,"31|(6,10)|31",>5,eps=>5;rho30=6,10+6i,31
678,339,28,21.25316176708374,21,7,1.4634858354188072,2.018018018018018,398,18,28|398|28,28|7|28,7|398|7,7|18|7,"28|(18,7)|28",>5,eps=>5;rho30=18,7+18i,28
684,342,30,22.43909771661089,22,8,1.5961398127349133,2.1176470588235294,384,24,30|384|30,30|8|30,8|384|8,8|24|8,"30|(24,8)|30",>5,eps=>5;rho30=24,8+24i,30
690,345,39,29.782120691608856,29,10,1.6890916223234596,2.7936507936507935,300,0,39|300|39,39|10|39,10|300|10,10|0|10,"39|(0,10)|39",>5,eps=>5;rho30=0,10,39
696,348,30,22.244272119317866,22,8,1.6444227001125737,2.074074074074074,396,6,30|396|30,30|8|30,8|396|8,8|6|8,"30|(6,8)|30",>5,eps=>5;rho30=6,8+6i,30
714,357,37,27.947380920106507,27,10,1.7123939672126554,2.56,344,24,37|344|37,37|10|37,10|344|10,10|24|10,"37|(24,10)|37",>5,eps=>5;rho30=24,10+24i,37
720,360,39,29.28186211648019,29,10,1.795906453281249,2.6666666666666665,330,0,39|330|39,39|10|39,10|330|10,10|0|10,"39|(0,10)|39",>5,eps=>5;rho30=0,10,39
726,363,31,24.542944015329038,24,7,1.303380513036818,2.2222222222222223,416,6,31|416|31,31|7|31,7|416|7,7|6|7,"31|(6,7)|31",>5,eps=>5;rho30=6,7+6i,31
738,369,29,22.915292332901327,22,7,1.2710920922946314,2.051282051282051,448,18,29|448|29,29|7|29,7|448|7,7|18|7,"29|(18,7)|29",>5,eps=>5;rho30=18,7+18i,29
744,372,31,23.243713223338,23,8,1.6087964667553392,2.0689655172413794,434,24,31|434|31,31|8|31,8|434|8,8|24|8,"31|(24,8)|31",>5,eps=>5;rho30=24,8+24i,31
750,375,39,30.126925431389473,30,9,1.6165782265483395,2.6666666666666665,360,0,39|360|39,39|9|39,9|360|9,9|0|9,"39|(0,9)|39",>5,eps=>5;rho30=0,9,39
756,378,35,27.265471751580108,27,8,1.4812464475286329,2.4,406,6,35|406|35,35|8|35,8|406|8,8|6|8,"35|(6,8)|35",>5,eps=>5;rho30=6,8+6i,35
768,384,31,22.972584529469685,22,9,1.6748303104468851,2.0,458,18,31|458|31,31|9|31,9|458|9,9|18|9,"31|(18,9)|31",>5,eps=>5;rho30=18,9+18i,31
774,387,32,23.66127888790399,23,9,1.714274408762814,2.048780487804878,454,24,32|454|32,32|9|32,9|454|9,9|24|9,"32|(24,9)|32",>5,eps=>5;rho30=24,9+24i,32
780,390,44,33.77893317978098,33,11,1.7586250816351527,2.9090909090909087,340,0,44|340|44,44|11|44,11|340|11,11|0|11,"44|(0,11)|44",>5,eps=>5;rho30=0,11,44
786,393,30,23.52888263978235,23,7,1.3340700198376723,2.0155038759689923,486,6,30|486|30,30|7|30,7|486|7,7|6|7,"30|(6,7)|30",>5,eps=>5;rho30=6,7+6i,30
798,399,38,29.982031675615147,29,9,1.464312625295392,2.541176470588235,418,18,38|418|38,38|9|38,9|418|9,9|18|9,"38|(18,9)|38",>5,eps=>5;rho30=18,9+18i,38
804,402,32,24.086118498571935,24,8,1.6125238015792478,2.0307692307692307,484,24,32|484|32,32|8|32,8|484|8,8|24|8,"32|(24,8)|32",>5,eps=>5;rho30=24,8+24i,32
810,405,39,31.793556535914398,31,8,1.278060544291502,2.6666666666666665,420,0,39|420|39,39|8|39,8|420|8,8|0|8,"39|(0,8)|39",>5,eps=>5;rho30=0,8,39
816,408,34,25.56687124379026,25,9,1.6678229244863318,2.1333333333333333,476,6,34|476|34,34|9|34,9|476|9,9|6|9,"34|(6,9)|34",>5,eps=>5;rho30=6,9+6i,34
828,414,34,25.368987631153967,25,9,1.7136028296286845,2.0952380952380953,488,18,34|488|34,34|9|34,9|488|9,9|18|9,"34|(18,9)|34",>5,eps=>5;rho30=18,9+18i,34
834,417,33,24.516648449049264,24,9,1.7133138071547953,2.0145985401459856,504,24,33|504|33,33|9|33,9|504|9,9|24|9,"33|(24,9)|33",>5,eps=>5;rho30=24,9+24i,33
840,420,51,39.13907810345694,39,12,1.8958900624163797,3.1999999999999997,330,0,51|330|51,51|12|51,12|330|12,12|0|12,"51|(0,12)|51",>5,eps=>5;rho30=0,12,51
846,423,32,25.1309760754148,25,7,1.3702201526335138,2.0444444444444443,526,6,32|526|32,32|7|32,7|526|7,7|6|7,"32|(6,7)|32",>5,eps=>5;rho30=6,7+6i,32
858,429,39,30.096357521197284,30,9,1.6229709418021707,2.4242424242424243,468,18,39|468|39,39|9|39,9|468|9,9|18|9,"39|(18,9)|39",>5,eps=>5;rho30=18,9+18i,39
864,432,33,24.951616474968368,24,9,1.6112366062404502,2.0,534,24,33|534|33,33|9|33,9|534|9,9|24|9,"33|(24,9)|33",>5,eps=>5;rho30=24,9+24i,33
870,435,46,34.66958615454988,34,12,1.924294081217533,2.765432098765432,410,0,46|410|46,46|12|46,12|410|12,12|0|12,"46|(0,12)|46",>5,eps=>5;rho30=0,12,46
876,438,36,25.550130218403666,25,11,2.0673514817220426,2.028169014084507,516,6,36|516|36,36|11|36,11|516|11,11|6|11,"36|(6,11)|36",>5,eps=>5;rho30=6,11+6i,36
888,444,37,26.164944423944032,26,11,2.1182208325478142,2.057142857142857,518,18,37|518|37,37|11|37,11|518|11,11|18|11,"37|(18,11)|37",>5,eps=>5;rho30=18,11+18i,37
894,447,34,25.733162407237018,25,9,1.6296443124170212,2.0136054421768708,554,24,34|554|34,34|9|34,9|554|9,9|24|9,"34|(24,9)|34",>5,eps=>5;rho30=24,9+24i,34
900,450,48,34.240332953186964,34,14,2.351467255512922,2.6666666666666665,420,0,48|420|48,48|14|48,14|420|14,14|0|14,"48|(0,14)|48",>5,eps=>5;rho30=0,14,48
906,453,34,25.974183384632,25,9,1.5747741635497943,2.0134228187919465,566,6,34|566|34,34|9|34,9|566|9,9|6|9,"34|(6,9)|34",>5,eps=>5;rho30=6,9+6i,34
918,459,35,27.778144927632404,27,8,1.3702416021371366,2.1333333333333333,568,18,35|568|35,35|8|35,8|568|8,8|18|8,"35|(18,8)|35",>5,eps=>5;rho30=18,8+18i,35
924,462,47,34.88297379098705,34,13,2.0515839670578067,2.6666666666666665,454,24,47|454|47,47|13|47,13|454|13,13|24|13,"47|(24,13)|47",>5,eps=>5;rho30=24,13+24i,47
930,465,43,36.251405054921925,36,7,1.120858888994189,2.7586206896551726,500,0,43|500|43,43|7|43,7|500|7,7|0|7,"43|(0,7)|43",>5,eps=>5;rho30=0,7,43
936,468,36,28.802320779042983,28,8,1.3411542990926928,2.1818181818181817,576,6,36|576|36,36|8|36,8|576|8,8|6|8,"36|(6,8)|36",>5,eps=>5;rho30=6,8+6i,36
948,474,33,26.987303132050265,26,7,1.1574162237744556,2.0259740259740258,618,18,33|618|33,33|7|33,7|618|7,7|18|7,"33|(18,7)|33",>5,eps=>5;rho30=18,7+18i,33
954,477,37,27.285359466027128,27,10,1.8597813805676564,2.0392156862745097,584,24,37|584|37,37|10|37,10|584|10,10|24|10,"37|(24,10)|37",>5,eps=>5;rho30=24,10+24i,37
960,480,45,35.83972842215182,35,10,1.5301217711093824,2.6666666666666665,510,0,45|510|45,45|10|45,10|510|10,10|0|10,"45|(0,10)|45",>5,eps=>5;rho30=0,10,45
966,483,45,33.94132268342111,33,12,1.8981861687446644,2.5142857142857142,516,6,45|516|45,45|12|45,12|516|12,12|6|12,"45|(6,12)|45",>5,eps=>5;rho30=6,12+6i,45
978,489,35,27.40540375203007,27,8,1.4507299866309766,2.012422360248447,628,18,35|628|35,35|8|35,8|628|8,8|18|8,"35|(18,8)|35",>5,eps=>5;rho30=18,8+18i,35
984,492,39,28.05611226329199,28,11,2.066131143592113,2.051282051282051,594,24,39|594|39,39|11|39,11|594|11,11|24|11,"39|(24,11)|39",>5,eps=>5;rho30=24,11+24i,39
990,495,52,40.700766884391314,40,12,1.7711187166229083,2.962962962962963,470,0,52|470|52,52|12|52,12|470|12,12|0|12,"52|(0,12)|52",>5,eps=>5;rho30=0,12,52
996,498,37,27.931792110459675,27,10,1.7158213493526733,2.0246913580246915,626,6,37|626|37,37|10|37,10|626|10,10|6|10,"37|(6,10)|37",>5,eps=>5;rho30=6,10+6i,37
1008,504,42,33.39234652693686,33,9,1.4895713325873094,2.4,588,18,42|588|42,42|9|42,9|588|9,9|18|9,"42|(18,9)|42",>5,eps=>5;rho30=18,9+18i,42
1014,507,39,30.48502920556664,30,9,1.5421970036637112,2.1818181818181817,624,24,39|624|39,39|9|39,9|624|9,9|24|9,"39|(24,9)|39",>5,eps=>5;rho30=24,9+24i,39
1020,510,51,39.91054875192692,39,12,1.7553600351278178,2.844444444444444,510,0,51|510|51,51|12|51,12|510|12,12|0|12,"51|(0,12)|51",>5,eps=>5;rho30=0,12,51
1026,513,42,29.83705426870544,29,13,2.2266953229304227,2.1176470588235294,606,6,42|606|42,42|13|42,13|606|13,13|6|13,"42|(6,13)|42",>5,eps=>5;rho30=6,13+6i,42
1038,519,40,28.579800971658145,28,12,2.1362106343850003,2.0116959064327484,638,18,40|638|40,40|12|40,12|638|12,12|18|12,"40|(18,12)|40",>5,eps=>5;rho30=18,12+18i,40
1044,522,39,29.58719077368206,29,10,1.7304832132871357,2.074074074074074,654,24,39|654|39,39|10|39,10|654|10,10|24|10,"39|(24,10)|39",>5,eps=>5;rho30=24,10+24i,39
1050,525,57,45.83554771103318,45,12,1.6490590582725941,3.1999999999999997,480,0,57|480|57,57|12|57,12|480|12,12|0|12,"57|(0,12)|57",>5,eps=>5;rho30=0,12,57
1056,528,44,31.959751436717514,31,13,2.129775154084554,2.2222222222222223,616,6,44|616|44,44|13|44,13|616|13,13|6|13,"44|(6,13)|44",>5,eps=>5;rho30=6,13+6i,44
