time,source_state,read_symbol,write_symbol,move,next_state,source_head,next_head,local_word,plaquette_residues,plaquette_sum,plaquette_sum_mod,plaquette_power_sum,plaquette_power_sum_mod,rule_residue,rule_code
62,C,1,1,L,D,-6,-7,010,"1,13,1,11",129896,26,257958321555142,22,10,C1->1LD
63,D,0,1,R,D,-7,-6,001,"1,11,7,13",86822,2,19695639521746,16,24,D0->1RD
64,D,1,0,R,A,-6,-5,110,"7,13,1,11",88382,2,279338261840518,28,25,D1->0RA
65,A,0,1,R,B,-5,-4,001,"1,11,7,13",90242,2,23311276073086,16,3,A0->1RB
66,B,1,0,L,C,-4,-5,111,"7,13,7,13",47230,10,26033679584050,10,26,B1->0LC
67,C,1,1,L,D,-5,-6,010,"1,13,1,11",138986,26,316112260133992,22,10,C1->1LD
68,D,0,1,R,D,-6,-5,101,"7,11,7,13",49688,8,30198575033362,22,0,D0->1RD
69,D,1,0,R,A,-5,-4,110,"7,13,1,11",96542,2,335481292964938,28,25,D1->0RA
70,A,0,1,R,B,-4,-3,001,"1,11,7,13",98312,2,33616882733206,16,3,A0->1RB
71,B,1,0,L,C,-3,-4,111,"7,13,7,13",54460,10,35836415438890,10,26,B1->0LC
72,C,1,1,L,D,-4,-5,010,"1,13,1,11",147446,26,377543829727912,22,10,C1->1LD
73,D,0,1,R,D,-5,-4,101,"7,11,7,13",56408,8,39504974168212,22,0,D0->1RD
74,D,1,0,R,A,-4,-3,110,"7,13,1,11",104522,2,406097257477498,28,25,D1->0RA
75,A,0,1,R,B,-3,-2,001,"1,11,7,13",106142,2,45078031087786,16,3,A0->1RB
76,B,1,0,L,C,-2,-3,110,"7,13,1,13",108424,4,458715367553818,28,8,B1->0LC
77,C,1,1,L,D,-3,-4,010,"1,13,1,11",156596,26,453232080134632,22,10,C1->1LD
78,D,0,1,R,D,-4,-3,101,"7,11,7,13",62288,8,57060283351522,22,0,D0->1RD
79,D,1,0,R,A,-3,-2,110,"7,13,1,11",112232,2,483890544721858,28,25,D1->0RA
80,A,0,1,R,B,-2,-1,000,"1,11,1,11",161214,24,501944317745164,4,5,A0->1RB
81,B,0,1,L,A,-1,-2,101,"7,11,7,13",66968,8,68234273768782,22,3,B0->1LA
82,A,1,1,L,B,-2,-3,011,"1,13,7,11",117032,2,45259607247754,4,14,A1->1LB
83,B,0,1,L,A,-3,-4,101,"7,11,7,13",70058,8,74819432991622,22,3,B0->1LA
84,A,1,1,L,B,-4,-5,111,"7,13,7,13",72310,10,83265970779640,10,0,A1->1LB
85,B,1,0,L,C,-5,-6,111,"7,13,7,13",73900,10,92267228364850,10,26,B1->0LC
86,C,1,1,L,D,-6,-7,110,"7,13,1,13",123964,4,632413589659138,28,26,C1->1LD
87,D,1,0,R,A,-7,-6,011,"1,13,7,13",125314,4,108412676398984,4,17,D1->0RA
88,A,1,1,L,B,-6,-7,010,"1,13,1,11",174026,26,620511308760412,22,26,A1->1LB
89,B,0,1,L,A,-7,-8,001,"1,11,7,11",126000,0,64914812111506,16,17,B0->1LA
90,A,0,1,R,B,-8,-7,001,"1,11,7,13",128342,2,118198182886636,16,3,A0->1RB
