z_bucket,rho30,native_cluster,count,min_N,max_N,mean_r,mean_h,mean_h_cal,mean_eps,mean_z,mean_boost
+0.0,12,z=+0.0;rho30=12,1283,72,99912,669.0826188620421,546.1715325972506,669.3875728253302,123.40452065471551,-0.003961130887398777,2.127041624383483
+0.0,14,z=+0.0;rho30=14,1279,14,99884,342.5645035183737,279.5679788698179,342.63838308348454,63.50195465207193,0.0009180011041832776,1.0659468485981822
+0.0,26,z=+0.0;rho30=26,1267,56,99956,355.2517758484609,289.9376199128998,355.3474102564864,65.81610102604577,0.0014193554498945816,1.0660074504627253
+0.0,18,z=+0.0;rho30=18,1259,48,99678,687.8006354249404,561.5238014414809,688.2033062820561,126.7736298649722,-0.009112832123144354,2.1329733750188584
+0.0,20,z=+0.0;rho30=20,1259,80,99950,425.4162033359809,347.475505822182,425.86581609715927,78.43685464654487,-0.016665500940490127,1.4202516451317322
+0.0,10,z=+0.0;rho30=10,1245,10,100000,528.9550200803213,431.3907367231559,528.7122835224425,98.06425702811245,0.017583843271003607,1.4223003095140723
+0.0,0,z=+0.0;rho30=0,1226,90,99780,936.8344208809135,764.5337426146253,937.012194462451,172.80342577487764,0.0026950280693773085,2.838504791343481
-0.5,8,z=-0.5;rho30=8,1223,8,99878,361.07031888798036,302.08744891865024,370.2382349571567,59.484873262469335,-0.4919046669496617,1.071567845653425
