family,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
shell_other,66,14,198,6.045454545454546,7.94727944826753,-0.640438011450218,1.3584636983009732
cone_3,13,6,192,5.6923076923076925,9.128232593705636,-1.1998420636552212,2.0
ring_5,8,10,200,4.625,6.397306413595111,-0.7252536339795486,1.3333333333333333
mobius_3x5,6,30,180,9.333333333333334,14.76968922634134,-1.4578276339062672,2.6666666666666665
spine_none,6,4,128,2.3333333333333335,3.403355795145051,-0.5627303287395812,1.0
