pair_i,count
173+43i[6],8
209+43i[42],7
193+83i[66],7
191+61i[42],6
11+19i[30],6
209+7i[6],6
163+53i[6],6
61+17i[78],6
47+31i[78],6
37+41i[78],6
31+47i[78],6
23+43i[66],6
19+47i[66],6
197+43i[30],6
37+5i[42],5
23+19i[42],5
199+53i[42],5
19+11i[30],5
193+47i[30],5
181+59i[30],5
199+17i[6],5
67+11i[78],5
59+19i[78],5
41+37i[78],5
19+59i[78],5
