z_bucket,rho30,count,min_N,max_N,mean_r,mean_h,mean_h_cal,mean_eps,mean_z,mean_boost
+0.0,0,732,660,99840,877.9207650273224,887.8766889342378,877.9048820277218,-9.450819672131148,0.0011016026143320183,2.8309217992339932
-0.5,0,729,120,99960,995.0480109739369,1011.5992883492426,1001.9432100605961,-16.060356652949245,-0.48314245951963775,2.854840313523517
+0.0,6,726,186,99786,702.9628099173553,710.4188118314181,702.986274528459,-6.933884297520661,-0.0024932756819697633,2.133914153921478
-0.5,20,720,200,99980,456.4888888888889,466.25937387239287,461.28767953836564,-9.280555555555555,-0.5016318067675339,1.4241135008151868
-0.5,18,719,168,99918,709.7190542420028,723.0549930131752,715.6621379121793,-12.860917941585535,-0.5001719698640024,2.139694501239947
+0.0,12,718,702,99792,677.6420612813371,685.3002891794695,677.7168641308868,-7.164345403899722,-0.003740046182313246,2.129901473884594
+0.0,24,704,114,99984,704.0965909090909,711.4116584299996,704.0578086288676,-6.815340909090909,0.0025144729247726645,2.1468469215064228
+0.5,10,703,10,99850,477.8179231863442,478.05709786447363,473.1102331561935,0.25604551920341395,0.4871701542941846,1.4251458970904458
+0.5,16,702,16,99796,343.7962962962963,343.4530937434914,339.68240201037975,0.8447293447293447,0.49957017335968434,1.0662298459872281
+0.0,18,693,468,99738,689.5974025974026,697.1024398473456,689.59852900967,-7.007215007215007,0.0014737140697734811,2.1308359473672716
+0.0,14,690,14,99854,337.1101449275362,340.89940575515453,337.109965994691,-3.2927536231884056,-0.003373128744500532,1.0682895640739787
+0.0,10,685,100,100000,493.55474452554745,498.22615799776713,493.4045928824955,-4.153284671532846,0.016905208561231545,1.4201356250771766
+0.5,22,685,412,99952,347.64963503649636,347.38575180664094,343.63567083530694,0.7518248175182481,0.48637368019032756,1.0655053662819374
+0.5,6,684,246,99966,657.3084795321637,659.3474419421325,651.7233201471531,-1.530701754385965,0.4947495437205027,2.125778613583199
+0.5,28,682,58,99988,347.06304985337243,346.6918590209693,342.94754896561864,0.8651026392961877,0.5021121339541172,1.0717399194833637
+0.0,26,681,176,99956,346.7518355359765,350.53466924388346,346.80759172811554,-3.2848751835535976,-0.002977512134648982,1.0709483366751256
-0.5,12,678,282,99582,694.5309734513274,707.7192737624032,700.311854718256,-12.679941002949853,-0.48827740879928905,2.129713565498108
+0.5,24,677,354,99804,648.0369276218612,650.3790978097046,642.6189197376518,-1.8552437223042837,0.48192156705537237,2.1274638511199684
-0.5,2,676,32,99932,353.78402366863907,361.71080734564276,357.98573562783224,-7.40680473372781,-0.4964834216172366,1.0740045520707566
+0.5,4,667,94,99814,360.91154422788605,360.4400003734922,356.7170722364978,0.9685157421289355,0.4979828226362165,1.0666492055891479
-1.0,2,647,122,99782,353.76661514683155,365.9106636110004,362.2333412024689,-11.647604327666151,-0.9897055636827937,1.06372783457414
+0.0,28,645,448,99898,366.08682170542636,369.70985969450214,366.0542105364219,-3.122480620155039,0.004014997120153672,1.069093361348597
-0.5,14,639,524,99944,368.42879499217526,376.26093787663206,372.6313442744783,-7.322378716744914,-0.48779491751710186,1.0688041815216887
+0.0,16,639,166,99826,363.01251956181534,366.64059936238493,362.9518938379804,-3.1236306729264474,0.006330814466167881,1.0668014449454262
-0.5,8,631,158,99878,342.7876386687797,350.5935512631649,346.85970702303166,-7.310618066561014,-0.48935165959607013,1.0625226308342532
+0.0,20,630,50,99950,461.6920634920635,466.7905573042021,461.82622451890865,-4.593650793650793,-0.015852222316431713,1.4168832390170445
-1.0,8,617,38,99578,360.69854132901133,373.04044170170056,369.2975505232194,-11.86385737439222,-0.9932401834699074,1.0724098820419934
-1.0,20,616,20,99710,479.04383116883116,493.7234767105077,488.83453184430056,-14.189935064935066,-0.986771522712105,1.4330202979364348
-0.5,26,608,296,99986,364.7845394736842,372.63141360635734,368.9875504996038,-7.3355263157894735,-0.4879870464249998,1.0669825333614114
+0.0,4,607,124,99994,374.9456342668863,378.5470044448745,374.9132986694432,-3.095551894563427,0.007937504960275963,1.06601827932153
