eps_bucket,rho30,native_cluster,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
>5,6,eps=>5;rho30=6,654,246,19986,206.8577981651376,163.59158031719778,3.3153716222090495,2.1298251068918783
>5,0,eps=>5;rho30=0,653,390,19980,273.8560490045942,218.28576804805127,3.6724878842181212,2.8386431876353115
>5,24,eps=>5;rho30=24,653,324,19974,207.1301684532925,163.58300360846533,3.3409698632276617,2.1296175669352597
>5,18,eps=>5;rho30=18,652,288,19998,205.11196319018404,164.22510078734197,3.1149663554829288,2.130225136035992
>5,12,eps=>5;rho30=12,645,462,19992,206.53798449612404,165.71317611016238,3.1037303327531705,2.131905810436181
>5,10,eps=>5;rho30=10,644,490,19990,141.36335403726707,110.48301611246926,2.9004288739980533,1.4202655789214118
