time,state,head,halted,ones_count,active_left,active_right,support_width,row_mass,row_mass_log10
60,A,-6,0,8,-6,3,10,3543176134018743872951961759418375270326,39.5493927419835
61,B,-5,0,9,-6,3,10,1480490138732208855986051929244354004434268,42.17040551898067
62,C,-6,0,8,-6,3,10,3281855783539638078482234675068328105948089668,45.51611949268628
63,D,-7,0,8,-7,3,11,67365613830975801033530407243864073463695822099712,49.82843827139875
64,D,-6,0,9,-7,3,11,42967710709234290213849239556190364929745441797659239574,55.63314221538201
65,A,-5,0,8,-7,3,11,360779980318698559434798625673299370612775352,44.55724243053747
66,B,-4,0,9,-7,3,11,10597606201207619293562071595648894065986103920,46.02520777743345
67,C,-5,0,8,-7,3,11,31089726997961930042570251723808894508110312325390,49.49261690847615
68,D,-6,0,8,-7,3,11,386081841897132204768810767082590727395718594039792,50.58667937647689
69,D,-5,0,9,-7,3,11,204461780919496850663977954527384167462468627764100309544,56.310612139301824
70,A,-4,0,8,-7,3,11,1052821948857059797265932087398005161147638472,45.022354930380956
71,B,-3,0,9,-7,3,11,30202252820230546120658043861449500943797022310,46.48003933868246
72,C,-4,0,8,-7,3,11,74731028385711626411189155577215951645752987057660,49.87350095869357
73,D,-5,0,8,-7,3,11,738299426206028471635782415717395833288434567136682,50.86823253089619
74,D,-4,0,9,-7,3,11,424010789303173797624296218118061849276249781871550147054,56.627376907713526
75,A,-3,0,8,-7,3,11,2832439000611744357164302492621017869868545842,45.452160565672955
76,B,-2,0,9,-7,3,11,66817620553110478012197278261195388025001198490,46.82489100588676
77,C,-3,0,8,-7,3,11,254722289412127508120290067131936407521311476579420,50.406066949459685
78,D,-4,0,8,-7,3,11,1863212415427397834249603510792014886899841623351332,51.270262369436914
79,D,-3,0,9,-7,3,11,2576966185729947006864533050430452520159818886476737694644,57.41110871989074
80,A,-2,0,8,-7,3,11,7023448626677487135407581411821257790294086542,45.846550410103276
81,B,-1,0,9,-7,3,11,9232287657364579762809880417120337511735184300,45.965309327663896
82,A,-2,0,10,-7,3,11,11654312159620242969271617003752177126619062712,46.066486646445476
83,B,-3,0,10,-7,3,11,16303150396354370488243744021701585632180345278,46.21227153492847
84,A,-4,0,11,-7,3,11,20896771394548277641851898128935609898772574280,46.32007919166869
85,B,-5,0,11,-7,3,11,647776357699145902939811872784567272398910946436,47.81142509324475
86,C,-6,0,10,-7,3,11,2687293136500463835499317376633574306737716700813746,51.429315042920265
87,D,-7,0,10,-7,3,11,23369342517482393390854891691416448273636690903692451601372,58.36864649394781
88,A,-6,0,9,-6,3,10,39237037587979071004813644953837800319547985764,46.59369621053868
89,B,-7,0,9,-7,3,11,50703087571333498804520021849174901439723700140,46.705034406559456
90,A,-8,0,10,-8,3,12,66274868462465396146297358483275693972428183298,46.82134887444991
91,B,-7,0,11,-8,3,12,2226095084341864708795953655603349402324276215086,48.34754371063798
92,C,-8,0,10,-8,3,12,11322834981655770939854335662034975255337780202106386,52.05395517797788
93,D,-9,0,10,-9,3,13,123695447093061691844359903608276439744469268636480828,53.09235371467561
94,D,-8,0,11,-9,3,13,317457990291483782293446771779475320633561428570145908446600,59.501686262567496
95,A,-7,0,10,-9,3,13,188302548401905808702746674762312027940386839398,47.27485619760241
96,B,-6,0,11,-9,3,13,15079893980389837010853399102416568121995433527576,49.17839828822517
97,C,-7,0,10,-9,3,13,63580399158741444226160083927687498868562676279193646,52.80332325009487
98,D,-8,0,10,-9,3,13,194924954390781522185644640731069682102388734396600178,53.28986744127499
99,D,-7,0,11,-9,3,13,813426659628771626811084059150123386846218242486834040548220,59.91031840207389
100,A,-6,0,10,-9,3,13,505467696498704909199322185900098742664516935448,47.70369340586047
101,B,-5,0,11,-9,3,13,669155051875556094120537404005133708636264679226,47.825526761073945
102,A,-6,0,12,-9,3,13,810110783276918246716759419249654070960557610338,47.908544413046535
103,B,-7,0,12,-9,3,13,1047233422879358071482700845731935071139073667064,48.02004349444839
104,A,-8,0,13,-9,3,13,1263241970263286605296474704301439711885662619326,48.1014865463471
105,B,-9,0,13,-9,3,13,37211153884212598964845948265530725387053523551382,49.570673137309264
106,C,-10,0,12,-10,3,14,1588857576714262724591820429855644933745840590775291294,54.20108496931609
107,H,-9,1,13,-10,3,14,1122809634837207149673128520905302728386355937265962,51.05030613066233
