time,state,head,halted,ones_count,active_left,active_right,support_width,row_mass,row_mass_log10
0,A,0,0,0,0,0,1,2571845608,9.410244893643235
1,B,1,0,1,0,1,2,86997148507944,13.939505018048962
2,A,0,0,2,0,1,2,556524470599014,14.745484265189093
3,B,-1,0,2,-1,1,3,6452160867971509744,18.80970518686345
4,A,-2,0,3,-2,1,4,24624408800568776992,19.391365812459686
5,B,-1,0,4,-2,1,4,70527445117354403340,19.848358151652175
6,C,-2,0,3,-2,1,4,480424027074879166920,20.681624719307674
7,D,-3,0,3,-3,1,5,3348614430415372597909020604,27.524865144439534
8,D,-2,0,4,-3,1,5,15131455941295544554873183002,28.179880717636504
9,A,-1,0,3,-3,1,5,10101807936265084567397874,25.004399107097218
10,B,0,0,4,-3,1,5,20512677865455202960071630,25.312022359845468
11,C,-1,0,3,-3,1,5,2709452361630862188493965492,27.432881519525296
12,D,-2,0,3,-3,1,5,15694957754831531727680657958454,31.195760151073447
13,D,-1,0,4,-3,1,5,752087111507120610826233926476962,32.87626814625094
14,A,0,0,3,-3,1,5,169427289404526016820599614,26.22898336280275
15,B,1,0,4,-3,1,5,4245887158250728571357731036158,30.62796844786101
16,C,0,0,3,-3,0,4,283879591872004665291180135314250,32.45313417218083
17,D,-1,0,3,-3,0,4,79195234618485720510733313462679318,34.89869904975666
18,D,0,0,4,-3,0,4,376385162752122829588007732930645815494,38.57563249503714
19,A,1,0,3,-3,1,5,22825955274999459493623431727598,31.358428961977623
20,B,2,0,4,-3,2,6,31207134357255148674724352428768,31.494253890742552
21,A,1,0,5,-3,2,6,41380746023375939447824835441484,31.61679831597967
22,B,0,0,5,-3,2,6,50857229587487363485967558842678,31.706352698591612
23,A,-1,0,6,-3,2,6,64702631332582622531453563095744,31.810921942955922
24,B,-2,0,6,-3,2,6,505475843851750573249370637600948,32.70370040595559
25,C,-3,0,5,-3,2,6,1725907273344685187269574286274476390,36.23701745895943
26,D,-4,0,5,-4,2,7,47330625131771558365497977848226624298,37.67514224056531
27,D,-3,0,6,-4,2,7,1327897624313261669395339012710253963310754,42.12316459392531
28,A,-2,0,5,-4,2,7,239114111748013041223361944893898,32.37860520753962
29,B,-1,0,6,-4,2,7,8933917526441465610487609837083948,33.95104193896001
30,C,-2,0,5,-4,2,7,17634464685604850105618381308008360810,37.246362280696644
31,D,-3,0,5,-4,2,7,1267290608397811037760398840957018316963478,42.102876216423766
32,D,-2,0,6,-4,2,7,44299350988748282232243009495129809963872394568,46.64639736360298
33,A,-1,0,5,-4,2,7,26476998916621775100019068011093440608,37.42286875766292
34,B,0,0,6,-4,2,7,160187478357469488972968024266949360010,38.20462856485188
35,C,-1,0,5,-4,2,7,175212122303051411040972908711579596783080,41.243564150160815
36,D,-2,0,5,-4,2,7,16625368144652557785241812648997039830256708,43.220771270902716
37,D,-1,0,6,-4,2,7,1681144887959778952125502536464545769954394144858,48.225605144331695
38,A,0,0,5,-4,2,7,90005612443369439389890522517869162798,37.954269591408085
39,B,1,0,6,-4,2,7,2323133949053265203823742440258171669420,39.366074251409174
40,C,0,0,5,-4,2,7,3472968126113040894447678376869267576978420,42.54070079750116
41,D,-1,0,5,-4,2,7,149499281365921025875757511227773650032176498,44.17463910503794
42,D,0,0,6,-4,2,7,6398469442347348828471997742881264537614847827648,48.80607610019664
43,A,1,0,5,-4,2,7,242419042061493560829227199304141884618,38.38456673074764
44,B,2,0,6,-4,2,7,6645469978371820726231757162096689506060,39.82252570037218
45,C,1,0,5,-4,1,6,14930065183757918918438521332957136139681370,43.1740617038325
46,D,0,0,5,-4,1,6,401647244416691875828107981293343255487565038,44.60384479174326
47,D,1,0,6,-4,1,6,69041568849305353640597521571644527174199457207088,49.83911065140436
48,A,2,0,5,-4,2,7,557052296414128134662621269300856027868,38.74589596892227
49,B,3,0,6,-4,3,8,603228012820554356297095778217286079874,38.78048150118219
50,A,2,0,7,-4,3,8,766098935494390795583964297795400186464,38.8842848588816
51,B,1,0,7,-4,3,8,777485545628870292964505862636940898940,38.890692323728494
52,A,0,0,8,-4,3,8,987894849436641543123888003158655713940,38.99471072116689
53,B,-1,0,8,-4,3,8,168889126663737417293697723604421870667462,41.2276016899384
54,C,-2,0,7,-4,3,8,433634939284952332567122414746859568381153122,44.63712426736644
55,D,-3,0,7,-4,3,8,3421968342953968757015199317961534036552170532693564,51.5342759875125
56,A,-2,0,6,-4,3,8,2416706271111089919132520947781239322998,39.38322386903095
57,B,-3,0,6,-4,3,8,2153036311188819222470932241251146970764,39.333051354308374
58,A,-4,0,7,-4,3,8,3295979996120990099065397144804061668064,39.51798456722391
59,B,-5,0,7,-5,3,9,2959454045404164016773579011034244260750,39.471211600607134
