time,x,symbol,is_head,state,transition_code,residue,prime,exponent,scale_level,term_value,term_log10
0,-3,0,0,,,1,31,3,1,29791,4.474085081502818
0,-2,0,0,,,1,61,3,1,226981,5.355989505032301
0,-1,0,0,,,1,151,3,1,3442951,6.536930841879508
0,0,0,1,A,R,11,11,7,1,19487171,7.289748796107575
0,1,0,0,,,1,181,3,1,5929741,6.773035724607554
0,2,0,0,,,1,211,3,1,9393931,6.972847365893078
0,3,0,0,,,1,241,3,1,13997521,7.146051127724605
0,4,0,0,,,1,271,3,1,19902511,7.298907872623217
0,5,0,0,,,1,331,3,1,36264691,7.559483981327157
0,6,0,0,,,1,421,3,1,74618461,7.872846287507005
1,-3,0,0,,,1,541,4,2,85662167761,10.932789060426277
1,-2,0,0,,,1,571,4,2,106302733681,11.026544432983393
1,-1,0,0,,,1,601,4,2,130466162401,11.115497888010959
1,0,1,0,,,7,7,5,2,16807,4.225490200071284
1,1,0,1,B,R,11,41,9,2,327381934393961,14.515054710477619
1,2,0,0,,,1,631,4,2,158532181921,11.200117436976537
1,3,0,0,,,1,661,4,2,190899960241,11.28080583794256
1,4,0,0,,,1,691,4,2,227988105361,11.357912189496794
1,5,0,0,,,1,751,4,2,318097128001,11.502559748016674
1,6,0,0,,,1,811,4,2,432596913841,11.636083416844624
2,-3,0,0,,,1,991,4,2,964483090561,11.984294617941101
2,-2,0,0,,,1,1021,4,2,1086683238481,12.036102968347642
2,-1,0,0,,,1,1051,4,2,1220143369201,12.086410864112969
2,0,1,0,,,7,37,5,2,69343957,7.841008620334975
2,1,0,0,,,1,1171,4,2,1880301880081,12.274227580289452
2,2,0,1,C,L,11,71,9,2,45848500718449031,16.66132513847168
2,3,0,0,,,1,1201,4,2,2080520644801,12.318172029611624
2,4,0,0,,,1,1231,4,2,2296318960321,12.361032211725265
2,5,0,0,,,1,1291,4,2,2777825555761,12.443704969065681
2,6,0,0,,,1,1321,4,2,3045168091681,12.483611270458109
3,-3,0,0,,,1,1381,5,3,5023060313370901,15.700968392893156
3,-2,0,0,,,1,1471,5,3,6887527781596351,15.83806336363765
3,-1,0,0,,,1,1531,5,3,8411548502536651,15.924875953491306
3,0,1,0,,,7,67,6,3,90458382169,10.956448816204958
3,1,0,1,C,L,11,101,10,3,110462212541120451001,20.043213737826427
3,2,1,0,,,7,97,6,3,832972004929,11.92063040559747
3,3,0,0,,,1,1621,5,3,11192190001532101,16.048915074242576
3,4,0,0,,,1,1741,5,3,15995353981724701,16.203993855586656
3,5,0,0,,,1,1801,5,3,18948226352409001,16.277568564097667
3,6,0,0,,,1,1831,5,3,20579827088718151,16.313441721508482
4,-3,0,0,,,1,1861,5,3,22321936361565301,16.348731865653836
4,-2,0,0,,,1,1951,5,3,28267431405534751,16.45128634697259
4,-1,0,0,,,1,2011,5,3,32889733386571051,16.51706035298371
4,0,1,1,C,L,13,13,11,3,1792160394037,12.253376875375205
4,1,1,0,,,7,127,6,3,4195872914689,12.622822325735742
4,2,1,0,,,7,157,6,3,14976071831449,13.175397914455402
4,3,0,0,,,1,2131,5,3,43945787218699651,16.64291724857101
4,4,0,0,,,1,2161,5,3,47127438398026801,16.673273834416207
4,5,0,0,,,1,2221,5,3,54043416055775101,16.73274279274237
4,6,0,0,,,1,2251,5,3,57793297550636251,16.7618774750026
5,-3,0,0,,,1,2281,5,3,61748502025115401,16.79062642638324
5,-2,0,0,,,1,2311,5,3,65917348148432551,16.818999727395546
5,-1,0,1,A,R,11,131,9,3,11361656654439817571,19.055441660901877
5,0,1,0,,,7,277,6,3,451729667968489,14.654878614386691
5,1,1,0,,,7,307,6,3,837201991720249,14.922830252863118
5,2,1,0,,,7,337,6,3,1464803622199009,15.165779405228031
5,3,0,0,,,1,2341,5,3,70308376303007701,16.847007068483123
5,4,0,0,,,1,2371,5,3,74930351500460851,16.87465776989094
5,5,0,0,,,1,2521,5,3,101827299997596601,17.00786422838223
5,6,0,0,,,1,2551,5,3,108031969347537751,17.03355229304895
6,-3,0,0,,,1,2671,5,3,135946941099682351,17.133369440106865
6,-2,0,0,,,1,2731,5,3,151917743390062651,17.181608500698665
6,-1,1,0,,,7,367,6,3,2443410216924769,15.387996385512537
6,0,1,1,B,R,13,43,11,3,929293739471222707,17.968153011375453
6,1,1,0,,,7,397,6,3,3915101633817529,15.592743040578691
6,2,1,0,,,7,457,6,3,9109555799784049,15.9594972004191
6,3,0,0,,,1,2791,5,3,169355452058194951,17.228799182443154
6,4,0,0,,,1,2851,5,3,188358874416239251,17.2749860865473
6,5,0,0,,,1,2971,5,3,231479885578703851,17.36451325901832
6,6,0,0,,,1,3001,5,3,243405270090015001,17.386329977124262
7,-3,0,0,,,1,3061,6,4,822583469182788792361,20.915179977584007
7,-2,0,0,,,1,3121,6,4,924192866401006194721,20.965762611991995
7,-1,1,0,,,7,487,7,4,6496848334417832983,18.81270272850244
7,0,1,0,,,7,547,7,4,14652484962038521963,19.165911284334015
7,1,1,1,B,R,13,73,12,4,22902048046490258711521,22.35987432144547
7,2,1,0,,,7,577,7,4,21292697885552828353,19.32823069209012
7,3,0,0,,,1,3181,6,4,1036053100279571545081,21.01538201464418
7,4,0,0,,,1,3271,6,4,1224851010300465423121,21.08808326474989
7,5,0,0,,,1,3301,6,4,1293817872180403369801,21.111873145981868
7,6,0,0,,,1,3331,6,4,1365990868509740043481,21.135447796147062
8,-3,0,0,,,1,3361,6,4,1441488144258094484161,21.158811074816864
8,-2,0,0,,,1,3391,6,4,1520431079948153331841,21.181966738668518
8,-1,1,0,,,7,607,7,4,30361333167115869343,19.482320837526803
8,0,1,0,,,7,727,7,4,107334880228778779303,20.030740876013265
8,1,1,0,,,7,757,7,4,142452854616260543293,20.153671156500508
8,2,1,1,B,R,13,103,12,4,1425760886846178945447841,24.154046696462068
8,3,0,0,,,1,3511,6,4,1873203569963667592561,21.272584976792107
8,4,0,0,,,1,3541,6,4,1971312884866314075241,21.294755560548666
8,5,0,0,,,1,3571,6,4,2073667404533300404921,21.316739101156692
8,6,0,0,,,1,3631,6,4,2291698568553679565281,21.360157493477352
9,-3,0,0,,,1,3691,6,4,2528507645606750993641,21.402864271173943
9,-2,0,0,,,1,3931,6,4,3689931151160205787081,21.567018262920534
9,-1,1,0,,,7,787,7,4,186992042977909461883,20.271823126513453
9,0,1,0,,,7,877,7,4,399022287095641845253,20.600997153562282
9,1,1,0,,,7,907,7,4,504953061238644082243,20.70325100942067
9,2,1,0,,,7,937,7,4,634128301193131823833,20.802177136214446
9,3,0,1,B,R,11,191,11,4,12341474201974794188822591,25.091367039725004
9,4,0,0,,,1,4021,6,4,4226729340853544190121,21.626004438617468
9,5,0,0,,,1,4051,6,4,4419503265226442311801,21.645373459101528
9,6,0,0,,,1,4111,6,4,4827084047654211776161,21.6836848606821
10,-3,0,0,,,1,4201,6,4,5496877886946024625201,21.740116089227953
