pair_i,count
13+13i[26],62
19+13i[2],61
7+7i[14],60
17+11i[28],58
1+7i[8],57
7+i[8],55
19+7i[26],55
13+7i[20],54
29+17i[16],54
11+11i[22],52
1+13i[14],51
11+17i[28],50
19+19i[8],50
29+23i[22],48
23+11i[4],48
17+17i[4],48
13+19i[2],47
11+23i[4],47
29+29i[28],46
23+23i[16],46
23+29i[22],46
17+29i[16],45
29+11i[10],44
7+19i[26],42
17+23i[10],42
