time,source_state,read_symbol,write_symbol,move,next_state,source_head,next_head,local_word,plaquette_residues,plaquette_sum,plaquette_sum_mod,plaquette_power_sum,plaquette_power_sum_mod,rule_residue,rule_code
0,A,0,1,R,B,0,1,000,"1,11,1,11",384,24,8755774,4,5,A0->1RB
1,B,0,0,R,C,1,2,100,"7,11,1,11",750,0,276652960,10,7,B0->0RC
2,C,0,1,L,C,2,1,000,"1,11,1,11",2544,24,1836390214,4,6,C0->1LC
3,C,0,1,L,C,1,0,101,"7,11,7,13",278,8,951502,22,10,C0->1LC
4,C,1,1,L,A,0,-1,011,"1,13,7,11",2282,2,296550484,4,28,C1->1LA
5,A,0,1,R,B,-1,0,001,"1,11,7,13",2762,2,24692206,16,3,A0->1RB
6,B,1,1,R,B,0,1,111,"7,13,7,13",880,10,90971230,10,20,B1->1RB
7,B,1,1,R,B,1,2,111,"7,13,7,13",1300,10,304656790,10,20,B1->1RB
8,B,1,1,R,B,2,3,110,"7,13,1,11",4562,2,44611396558,28,22,B1->1RB
9,B,0,0,R,C,3,4,100,"7,11,1,11",5400,0,68982464680,10,7,B0->0RC
10,C,0,1,L,C,4,3,000,"1,11,1,11",9234,24,93822444904,4,6,C0->1LC
11,C,0,1,L,C,3,2,101,"7,11,7,13",3458,8,4553743432,22,10,C0->1LC
12,C,1,1,L,A,2,1,111,"7,13,7,13",3760,10,6719375950,10,14,C1->1LA
13,A,1,1,R,H,1,2,111,"7,13,7,13",4420,10,10678751590,10,26,A1->1RH
