family,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
shell_other,66,14,198,6.045454545454546,4.543845491026748,0.7275264404284142,1.3584636983009732
cone_3,13,6,192,5.6923076923076925,5.103492115636654,0.1533119637740607,2.0
ring_5,8,10,200,4.625,3.5801774714659107,0.5081989359616256,1.3333333333333333
mobius_3x5,6,30,180,9.333333333333334,8.362734910413806,0.26626108734736725,2.6666666666666665
spine_none,6,4,128,2.3333333333333335,1.960048272669784,0.253606435640439,1.0
