N,n,r,h,h_floor,eps_h,eps_bucket,z_h,rho30,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
102,51,8,11.926064836968715,11,-3,-3,-1.1368649688807717,12,2.1333333333333333,"3,17",shell_other,eps=-3;rho30=12,-3+12i,3.849820955841431,1.2516785095295022,-3.047490735521229
104,52,5,6.154819589492542,6,-1,-1,-0.46548584457770276,14,1.0909090909090908,13,shell_other,eps=-1;rho30=14,-1+14i,2.671947528375438,0.2052769301016037,-1.20419445306154
106,53,6,5.80478451949329,5,1,1,0.08102540353441129,16,1.0196078431372548,53,shell_other,eps=1;rho30=16,1+16i,1.8168195860680458,-0.4201429555892742,0.37515040231211905
108,54,8,11.488120972533174,11,-3,-3,-1.0291224169061892,18,2.0,3,cone_3,eps=-3;rho30=18,-3+18i,3.75829186786792,-2.5090932765632488,-2.829029713412471
110,55,6,8.584660982190872,8,-2,-2,-0.8821491343206992,20,1.4814814814814814,"5,11",shell_other,eps=-2;rho30=20,-2+20i,2.1496224571073776,-2.9313882752418117,-2.314391712015783
112,56,7,7.01390347987932,7,0,0,-0.005249810415173146,22,1.2,7,shell_other,eps=0;rho30=22,22i,0.26042304856930326,-2.480909682617147,-0.011414430182565452
114,57,10,12.48329394681638,12,-2,-2,-0.7028514277558802,24,2.1176470588235294,"3,19",shell_other,eps=-2;rho30=24,-2+24i,-0.28314634499572133,-3.599157488023729,-1.9310117850209192
116,58,6,6.164730594952938,6,0,0,-0.06634637756050832,26,1.037037037037037,29,shell_other,eps=0;rho30=26,26i,-1.552004843614904,-1.7634838289305406,-0.14478375723266737
118,59,6,6.099102440597153,6,0,0,-0.04012835769892278,28,1.0175438596491229,59,shell_other,eps=0;rho30=28,28i,-2.1047031549428317,-0.9611512332592786,-0.08772543138642
120,60,12,16.114793308370043,16,-4,-4,-1.0250278259253551,0,2.6666666666666665,"3,5",mobius_3x5,eps=-4;rho30=0,-4,-2.3018221759711657,-0.6150166955552131,-3.044738517659872
122,61,4,6.195126537600289,6,-2,-2,-0.8819307177693165,2,1.0169491525423728,61,shell_other,eps=-2;rho30=2,-2+2i,-1.3947120392896455,0.4142802664468306,-2.3346642111660274
124,62,5,6.352171919969749,6,-1,-1,-0.536501315315316,4,1.0344827586206897,31,shell_other,eps=-1;rho30=4,-1+4i,-1.2127297671528863,1.4239158596379249,-1.3788771017718973
126,63,10,14.852949722025185,14,-4,-4,-1.259213689470203,6,2.4,"3,7",shell_other,eps=-4;rho30=6,-4+6i,0.3102166996640676,2.6766324200523037,-3.571468138830749
128,64,3,6.236769044259466,6,-3,-3,-1.2960802149163468,8,1.0,,spine_none,eps=-3;rho30=8,-3+8i,1.3033898669092125,1.5317706543735616,-3.457206527459495
130,65,7,9.14117619424697,9,-2,-2,-0.7081925703176233,10,1.4545454545454544,"5,13",shell_other,eps=-2;rho30=10,-2+10i,2.119970293263317,2.0316934757777854,-1.9636785022868986
132,66,9,14.071340877669382,14,-5,-5,-1.3519326645041172,12,2.2222222222222223,"3,11",shell_other,eps=-5;rho30=12,-5+12i,4.577461843687898,1.2498128987856134,-3.9896819803859094
134,67,6,6.477553444547135,6,0,0,-0.18763613537655874,14,1.0153846153846153,67,shell_other,eps=0;rho30=14,14i,2.3127288486488795,0.37900401091793945,-0.4155737905283006
136,68,5,6.854911683583104,6,-1,-1,-0.7084713701893296,16,1.0666666666666667,17,shell_other,eps=-1;rho30=16,-1+16i,2.7249854362106496,-0.9313900578570877,-1.771462472783972
138,69,8,13.563149598287287,13,-5,-5,-1.5105686343639055,18,2.0952380952380953,"3,23",shell_other,eps=-5;rho30=18,-5+18i,4.481549926293545,-2.9254296497728247,-4.355528194343837
140,70,7,10.431901735241944,10,-3,-3,-1.062559113494521,20,1.5999999999999999,"5,7",shell_other,eps=-3;rho30=20,-3+20i,2.523390975757578,-3.25155671416228,-2.9637486396786916
142,71,8,6.661500179618465,6,2,2,0.5185997406850714,22,1.0144927536231885,71,shell_other,eps=2;rho30=22,2+22i,-0.42123656945672644,-2.068463741150595,1.5553076121114118
144,72,11,13.225035580408944,13,-2,-2,-0.6118409429557563,24,2.0,3,cone_3,eps=-2;rho30=24,-2+24i,-0.3791112241387612,-3.585677963847181,-1.7649311298479442
146,73,6,6.752270127734649,6,0,0,-0.28950022959298877,26,1.0140845070422535,73,shell_other,eps=0;rho30=26,26i,-1.6102411071553335,-1.9620540632549208,-0.6467225572888272
