time_index,N_start,N_end,rho30,state_label,cell_total,state_count,state_share,mean_z
5,1204,2403,24,+0.0,40,22,0.55,0.1879138761094576
5,1204,2403,26,+0.0,40,19,0.475,0.3662980571038702
5,1204,2403,28,+0.0,40,19,0.475,0.3222860738525152
6,1444,2643,0,+0.0,40,25,0.625,-0.06449337748049717
6,1444,2643,2,+0.0,40,21,0.525,-0.2819107601431815
6,1444,2643,4,+1.0,40,19,0.475,1.105448933567073
6,1444,2643,6,+0.0,40,18,0.45,0.20905531235124525
6,1444,2643,8,-1.0,40,15,0.375,-0.7988274979733545
6,1444,2643,10,+0.0,40,19,0.475,0.4724501558901616
6,1444,2643,12,-1.0,40,17,0.425,-0.16520919858370825
6,1444,2643,14,+0.0,40,18,0.45,-0.23628395551884013
6,1444,2643,16,+1.0,40,18,0.45,0.6155673494074503
6,1444,2643,18,+0.0,40,19,0.475,-0.4072674791392726
6,1444,2643,20,+0.0,40,18,0.45,-0.36535057461443976
6,1444,2643,22,+0.0,40,18,0.45,0.5383081686465909
6,1444,2643,24,+0.0,40,18,0.45,0.2800513229678689
6,1444,2643,26,+0.0,40,18,0.45,0.26426543762965354
6,1444,2643,28,+0.0,40,18,0.45,0.3993680576583041
7,1684,2883,0,+0.0,40,27,0.675,0.02381043012258679
7,1684,2883,2,+0.0,40,23,0.575,-0.315095369483653
7,1684,2883,4,+1.0,40,20,0.5,1.0783213248607084
7,1684,2883,6,+0.0,40,17,0.425,0.22257593220099042
7,1684,2883,8,-1.0,40,15,0.375,-0.8279883533367751
7,1684,2883,10,+0.0,40,19,0.475,0.4141300762554197
7,1684,2883,12,+0.0,40,19,0.475,-0.22045638034257492
7,1684,2883,14,+0.0,40,19,0.475,-0.1258547548749215
7,1684,2883,16,+1.0,40,19,0.475,0.7135595292567496
7,1684,2883,18,+0.0,40,16,0.4,-0.3807854861465714
7,1684,2883,20,+0.0,40,19,0.475,-0.29512976970112553
7,1684,2883,22,+0.0,40,20,0.5,0.4301673465138812
7,1684,2883,24,+1.0,40,18,0.45,0.3490398509979077
7,1684,2883,26,+0.0,40,17,0.425,0.28569404545117044
7,1684,2883,28,+0.0,40,19,0.475,0.36688523090070746
8,1924,3123,0,+0.0,40,26,0.65,-0.08755523476228468
8,1924,3123,2,+0.0,40,19,0.475,-0.4865644081735181
8,1924,3123,4,+1.0,40,22,0.55,1.1368739493787963
8,1924,3123,6,+0.0,40,19,0.475,0.27798934107191253
8,1924,3123,8,-1.0,40,17,0.425,-0.8645029334275997
8,1924,3123,10,+0.0,40,16,0.4,0.7342802095203311
8,1924,3123,12,+0.0,40,20,0.5,-0.17390338050995413
8,1924,3123,14,+0.0,40,20,0.5,-0.10619963664548511
8,1924,3123,16,+1.0,40,21,0.525,0.9070198604929951
8,1924,3123,18,+0.0,40,15,0.375,-0.34714646835634044
8,1924,3123,20,-1.0,40,19,0.475,-0.40036407501067395
8,1924,3123,22,+0.0,40,18,0.45,0.567386142434246
8,1924,3123,24,+1.0,40,19,0.475,0.4392402239751025
8,1924,3123,26,+0.0,40,18,0.45,-0.02907611641623844
8,1924,3123,28,+0.0,40,16,0.4,0.5353229305216832
9,2164,3363,0,+0.0,40,27,0.675,-0.038489464392059344
9,2164,3363,2,+0.0,40,16,0.4,-0.6348222322942518
9,2164,3363,4,+1.0,40,19,0.475,1.0352858829150346
9,2164,3363,6,+0.0,40,19,0.475,0.3266661260794622
9,2164,3363,8,-1.0,40,14,0.35,-0.7213481850321422
9,2164,3363,10,+1.0,40,16,0.4,0.6563933571491345
9,2164,3363,12,+0.0,40,18,0.45,-0.18098750097525523
9,2164,3363,14,+0.0,40,19,0.475,-0.048931691360049254
9,2164,3363,16,+1.0,40,20,0.5,0.9582700894982926
9,2164,3363,18,+0.0,40,14,0.35,-0.4005242876232195
9,2164,3363,20,-1.0,40,20,0.5,-0.5239184228094265
9,2164,3363,22,+1.0,40,18,0.45,0.6062980541984185
9,2164,3363,24,+1.0,40,18,0.45,0.3393152230869768
9,2164,3363,26,+0.0,40,15,0.375,-0.21295919410287306
9,2164,3363,28,+0.0,40,17,0.425,0.6304674815440754
10,2404,3603,0,+0.0,40,28,0.7,-0.0512371299659596
10,2404,3603,2,-1.0,40,15,0.375,-0.6422044868401797
10,2404,3603,4,+1.0,40,16,0.4,0.8319717240105138
10,2404,3603,6,+1.0,40,18,0.45,0.3240198703862566
10,2404,3603,8,+0.0,40,14,0.35,-0.6486589690994711
10,2404,3603,10,+1.0,40,17,0.425,0.743499051443923
10,2404,3603,12,+0.0,40,18,0.45,-0.3172543732817773
10,2404,3603,14,+0.0,40,19,0.475,0.05909347480350265
10,2404,3603,16,+1.0,40,20,0.5,0.972703885357572
10,2404,3603,18,+0.0,40,14,0.35,-0.17043672022736342
10,2404,3603,20,-1.0,40,20,0.5,-0.5696209884425464
10,2404,3603,22,+1.0,40,18,0.45,0.7441520356278212
