time,state,head,halted,ones_count,active_left,active_right,support_width,row_mass,row_mass_log10
0,A,0,0,0,0,0,1,72410598,7.85980213409882
1,B,1,0,1,0,1,2,8509306476494,12.929894165759642
2,A,0,0,2,0,1,2,3221633511164,12.508076134117973
3,B,-1,0,2,-1,1,3,58245275058489834,16.765260700526312
4,A,-2,0,3,-2,1,4,1118500977943690032,18.048636368151346
5,B,-1,0,4,-2,1,4,40031091810517804382,19.602397435241674
6,H,0,1,4,-2,1,4,4451415926504227790,18.648498175308458
